author,belongsName,belongsId,content,displayTime,domain,editor,hasImg,hasVideo,id,imageUrl,inputTime,isDisclosed,isElited,isFixed,isOfficial,isRecommend,keyword,newsJson,originNodeRname,originUrl,originalName,originalType,pretitle,shorttitle,source,sourceId,contentId,sourcetitle,sourceType,subtitle,title,url,originName
,#上海频道#人民的城市主题短视频展映#,"[""134768"",""410508""]",,1726194581000,,邬迪,0,1,2000040976911,,1726211561000,,,,,,,,,null,,,,,2,40976911,40976911,,1,,徐汇：徐汇滨江的<em>变迁</em>,http://sh.people.com.cn/n2/2024/0913/c134768-40976911.html,人民网－人民视频
人民网记者 汪瑞华,#本网原创#安徽新闻列表#,"[""227131"",""337309""]",从土路到水泥路、再到沥青铺就的柏油路，一“路”<em>变迁</em>的背后，其实是旌德县发展的缩影。  挖掘机碎石，拓宽路面。,1721620228000,,范晓琳,1,0,2000040919257,http://ah.people.com.cn/NMediaFile/2024/0722/LOCAL1721620195294GE4EE6I7GY.jpg,1721620229000,,,,,,,,,,,,,,2,40919257,40919257,,1,,安徽旌德一“路”<em>变迁</em>,http://ah.people.com.cn/n2/2024/0722/c227131-40919257.html,人民网－安徽频道
,#文旅#,"[""372453""]",壁画中家具的<em>变迁</em>，生动反映了这段时期人们起居习俗的演进，从中我们不难看出社会生活、艺术风格、审美观念的变化。（魏迎春 黄凤霞）,1726187113000,,木胜玉,1,0,2000040976031,http://yn.people.com.cn/mediafile/pic/20240913/97/7589542387897885941.jpg,1726187113000,,,,,,,,,https://epaper.gmw.cn/gmrb/html/2024-09/13/nw.D110000gmrb_20240913_1-16.htm ,,,,,2,40976031,40976031,,1,,敦煌壁画中的家具<em>变迁</em>,http://yn.people.com.cn/n2/2024/0913/c372453-40976031.html,光明日报
,#江西#要闻#社会#,"[""186330"",""190181"",""355185""]",1961年以来，我省<em>气候</em>呈现变暖趋势，降水集中度和极端性明显增强；近5年来，出现了历史罕见的夏季极端高温、雷暴、大风，以及冬季极端低温等灾害天气。即使我们大幅度减少温室气体排放，已经发生的<em>气候</em>影响不会消除，潜在的<em>气候</em>风险仍在不断累积，甚至长期持续。”省生态环境厅应对<em>气候</em>处四级调研员朱荣告诉记者，适应措施能够帮助人类应对当前和未来的<em>气候</em>挑战，降低气候变化对经济社会和生态环境系统的损害。为此，秉持着“防范<em>气候</em>之险，用好<em>气候</em>之利”的理念，高效统筹趋利与避害、减缓与适应、发展与安全，我省在开展水资源、陆地生态系统、极端天气气候灾害情境下应急管理、城市与人居环境及长江岸线区域等适应气候变化专题研究的基础上到2030年，适应气候变化政策体系和体制基本完善，气候适应型社会建设取得阶段性成效；到2035年，<em>气候</em>风险管理和防范体系基本成熟，气候适应型社会基本建成。,1721866104000,,毛思远,0,0,2000040922520,,1721866104000,,,,,,,,,http://epaper.jxxw.com.cn/html/2024-07/25/content_144391_1086097.htm ,,,,,2,40922520,40922520,,1,——《江西省适应气候变化行动方案》解读,防范<em>气候</em>之险 用好<em>气候</em>之利,http://jx.people.com.cn/n2/2024/0725/c186330-40922520.html,江西日报
,#社会#,"[""372456""]",转眼间，他已在这条街上生活20多个年头了，街道的<em>变迁</em>似乎与他无关，又似乎与他有关。对于街道的变化，他们似乎不太关注，但他们的身影，让建设南街充满了烟火气，浓缩着昭通城区的民生印迹…… 华灯初上，抚镇门广场上翩翩起舞的男女，在音乐声中陶醉，抚镇门城楼的静穆，慢慢地覆盖了城市的过往，也见证了街道的<em>变迁</em>,1724724929000,,徐前,1,0,2000040957194,http://yn.people.com.cn/mediafile/pic/20240827/25/10488361066386595697.jpg,1724724929000,,,,,,,,,,,,,,2,40957194,40957194,,1,,建设南街，粮食之街的<em>变迁</em>印迹,http://yn.people.com.cn/n2/2024/0827/c372456-40957194.html,
,#西藏频道#滚动播报#市地动态#,"[""138901"",""339805"",""389275""]",昌庆街的<em>变迁</em>历史向广大市民和游客讲述了多姿多彩的昌都故事，诉说着昌都群众长久以来的心路历程。(平措郎加）,1723168718000,,旦增卓色,0,0,2000040939164,,1723168719000,,,,,,,,,https://e.xzxw.com/xzrb/202408/09/content_268167.html ,,,,,2,40939164,40939164,,1,,昌都市昌庆街：老街<em>变迁</em>续写繁华,http://xz.people.com.cn/n2/2024/0809/c138901-40939164.html,西藏日报
张怡靖    苗  春,#文旅·体育#,"[""1012""]",中国电影资料馆推出的庆祝新中国成立75周年特别策划“翻身道情”篇部分影片海报。图①：《姊姊妹妹站起来》海报。图②：《黄宝妹》海报。图③：《祖国的花朵》海报。图④：《我们夫妇之间》海报。淘票票供图     9月4日晚，虽然秋雨绵绵，但位于北京小西天的中国电影资料馆艺术影院依然人头攒动。笔者和数百位观众一起观看了诞生于1951年的国产影片《姊姊妹妹站起来》。女主角大香在旧社会被骗进妓院遭受欺压的不幸遭遇令人扼腕，新中国成立后她和姐妹们重获新生的情景又让人无比振奋。这部影片取材于1949年11月北京市政府一举封闭全市妓院的史实，导演陈西禾通过深入采访写出剧本，还大胆起用业余演员，从翻身妓女中挑选演员参与电影拍摄。影片生动表现了“旧社会把人变成鬼，新社会把鬼变成人”的主题，体现了时代进步和社会变迁。 这部影片也是中国电影资料馆推出的庆祝新中国成立75周年特别策划首场放映。从今年9月至12月，这一特别策划通过“翻身道情”（1949-1978）、“时代新声”（1979-2002）、“人间烟火”（2003-2012）、“盛世影韵”（2013-2024）4个篇章，精选一系列经典影片进行展映，让观众重温被光影铭记的历史，感受新中国成立以来的时代发展与社会进步。 精心选片 “电影承载着社会文化记忆，同时又是一面面镜子。我们可以通过从1949年至今出品的电影，管窥新中国成立75年来中国社会生活方方面面的变化。”中国电影资料馆公共事业部副主任、策展人沙丹说。他介绍，新中国成立以来诞生的影片数不胜数，综合考虑影片的历史性、时代性、艺术价值、社会意义以及观众需求等方面，最终他们确定了30多部影片入选本次特别策划。 他表示，选片的首要标准，是影片承载的历史含量与时代精神。从《黄宝妹》里劳动模范如何在社会主义建设大潮中乘风破浪，到《十八洞村》里精准扶贫政策下的乡村蜕变；从《开国大典》再现新中国成立的辉煌时刻，到《横空出世》里科研人员在艰苦条件下研制原子弹的壮丽篇章；从《静静的嘛呢石》里藏族少年纯真视角下的现代与传统交融，到《蓝色防线》记录的中国维和部队在非洲英勇无畏、执着坚守……每一部作品都在中国电影史上留下不可磨灭的印记，也共同绘制出波澜壮阔的中国社会发展图景。 策展团队还巧妙运用了对比放映的方法。例如，将同为新中国成立初期妓女改造题材的故事片《姊姊妹妹站起来》与纪录片《烟花女儿翻身记》形成对比，又将《烟花女儿翻身记》与讲述纺织女工在工厂当家作主，进行热火朝天劳动竞赛的《黄宝妹》进行联映，不仅增强了叙事的深度与广度，更让观众在对比中感受到历史的厚重与现实的冲击。两部具有珍贵史料价值的纪录片《人民的新杭州》与《漫步北京》也是联袂登场，带领观众一览上世纪50年代北京与杭州的社会风貌，与历史对话，与时代共鸣。 影片的艺术价值和表现手法也是选片时的考量标准。由郑君里执导的《我们夫妇之间》，通过细腻的笔触展现新中国成立后干部家庭的生活变化和观念冲突；儿童电影《祖国的花朵》主题曲《让我们荡起双桨》传唱至今，成为影响几代人的经典；大型音乐舞蹈史诗《东方红》展现了中国革命的历史进程，汇集了多种艺术形式，搬上大银幕时，以多机位呈现了舞台演出的盛大规模；《开国大典》将历史与艺术充分结合，真实而富有史诗感；《回西藏》生动讲述了到西藏工作的主人公与一位藏族同胞从互不理解到成为生死之交的过程……这些影片，是电影艺术长河中的璀璨星辰，也是新中国发展历程与社会变迁的生动注脚。 经典重生 《姊姊妹妹站起来》的最后一个镜头，是一行文字说明：“本片于2013年修复。” 此次特别策划展映的影片中，有一些由中国电影资料馆修复团队将胶片时代的电影拷贝进行扫描，实现数字化并进行修复的影片，包括《姊姊妹妹站起来》《黄宝妹》《我们夫妇之间》《锦上添花》等。《烟花女儿翻身记》《祖国的花朵》《人民的新杭州》《漫步北京》《东方红》等也已经通过扫描，实现数字化，尚待修复。此次特别策划放映的《开国大典》虽然并非由中国电影资料馆修复，但也是4k高清版。 据介绍，电影修复工作并非简单的图像复原，需要经过物理修复、数字修复和艺术修复3个阶段。首先要对胶片进行接补、清洁，再将胶片上的影像扫描转换成数字文件，利用数字技术处理掉色、划痕、霉斑、抖动、闪烁、噪声等问题，接下来进行色彩校正和画面调整等，确保影片的艺术价值得到最大程度的保留和提升。 沙丹表示，选择哪些影片优先修复，要基于4大原则——迫切性、艺术性、可利用性与可修复性。那些年代久远、保存状况较差且急需保护的影片会得到优先修复。比如《开国大典》等既具有极高时代价值，修复后又会经常被放映、研究的影片，无疑成为修复的重点对象。 《锦上添花》讲述了一个火车小站上新老站务员工作和生活中发生的种种趣事。据介绍，修复团队在修复这部影片时，力求保留喜剧原作的神韵，同时赋予其更加鲜活的生命力和美感，让观众在观影时感受到电影艺术穿越时空的魅力。 修复一部影片往往需要投入大量成本。影片的可利用性以及影片原始素材是否完整、是否具备足够的修复空间，也是修复的重要前提。《姊姊妹妹站起来》《我们夫妇之间》等的修复，也都因为它们既具有修复价值又具备可修复条件，才在修复团队的巧手下重获新生。 老电影的每一帧画面都承载着厚重的历史与文化信息，因此，影片修复不仅需要提升画面质量，还要遵循“修旧如旧”的原则，尽量保留影片的原始风貌和特色，以确保修复后的影片既符合现代观众的审美需求，又能忠实反映其历史背景和文化内涵。如此次放映的《姊姊妹妹站起来》数字版依然保留了胶片电影放映过程中更换胶片卷时短暂的几秒钟“黑场”。 跨时代共鸣 本次特别策划不仅是一场新中国电影艺术的巡礼，更为观众开启了一次穿越时空的心灵之旅，让人们通过重新观赏那些镌刻着时代烙印的经典之作，触摸历史的脉搏，聆听岁月深处的回响，感受前辈们为理想奋斗的坚定信念，体会到那些曾经激励人心的故事背后蕴藏的深厚文化底蕴和民族精神力量。 在光影交织间，观众看到祖国变化发展的轨迹，听到社会进步的坚实足音。从事互联网行业的李先生观看《姊姊妹妹站起来》后表示：“这部影片虽然只有一条主线，情节也比较简单，却通过深入的挖掘和传神的再现，表现出人物在旧社会的悲惨命运和在新中国的美好未来，真实而震撼。” 不同年龄、不同背景的观众也通过老电影找到了共同的情感纽带，实现了跨越年龄层的对话。看完《烟花女儿翻身记》和《黄宝妹》后，亲历过上世纪五六十年代的观众很激动，这些影片唤起了他们珍贵的记忆。余女士感慨地说：“影片中讲述的很多是我们经历过或看过的事情。一些具有划时代意义的时间点被集中再现，让我感慨万千。”而对于年轻观众来说，这些老电影则是一次宝贵的历史教育。刚参加工作不久的杨女士表示：“我对上世纪五六十年代知之甚少。但通过这些影片，感受到那个时代人们奋斗进取的精神风貌，更加深刻地理解了国家的发展历程和前辈们的辛勤付出。” 有过传媒从业经历的李女士是中国电影资料馆常客。她认为，在《黄宝妹》这部纪录片中，导演谢晋不仅大胆结合剧情片的拍摄方式，还巧妙运用现代电影手法和新技术，用二次曝光将戏曲片段中的仙女舞蹈与女工工作两种场景融合在一起，既有真实性又有艺术性，“这种创造力和前卫程度令人敬佩”。她表示，中国电影资料馆的影片具有电影史资料性质，不仅给观众提供良好观影体验，更引领观众对电影史和电影文化进行深度探索。,1726188103000,,王连香,1,0,1000040319353,http://paper.people.com.cn/rmrbhwb/images/1/20240913/1726168402687_1.jpg,1726188103000,,,,,,,,,http://paper.people.com.cn/rmrbhwb/html/2024-09/13/content_26080208.htm,,,,,1,40319353,40319353,,1,中国电影资料馆推出庆祝新中国成立75周年特别策划,见证时代<em>变迁</em> 传承光影记忆,http://ent.people.com.cn/n1/2024/0913/c1012-40319353.html,人民网－人民日报海外版
,#安徽新闻列表#省内要闻#,"[""337309"",""358428""]",年货消费的<em>变迁</em>中，藏着人们对生活需求和商业模式的不断<em>变迁</em>。这份<em>变迁</em>，源自过去一年里每一位奋斗者的辛勤付出，是用双手创造出的美好生活。我们是中国消费升级的参与者，也是见证者。　　无论年货如何<em>变迁</em>，为“年”做准备的情愫不变。（彭园园）,1707700695000,,黄艳,0,0,2000040745281,,1707700695000,,,,,,,,,https://szb.ahnews.com.cn/ahrb/content/202402/12/c1017918.html ,,,,,2,40745281,40745281,,1,,<em>变迁</em>的年货，不变的情愫,http://ah.people.com.cn/n2/2024/0212/c358428-40745281.html,安徽日报
张怡靖    苗  春,#文旅·体育#,"[""1012""]",　　中国电影资料馆推出的庆祝新中国成立75周年特别策划“翻身道情”篇部分影片海报。　　图①：《姊姊妹妹站起来》海报。　　图②：《黄宝妹》海报。　　图③：《祖国的花朵》海报。　　图④：《我们夫妇之间》海报。　　淘票票供图　　9月4日晚，虽然秋雨绵绵，但位于北京小西天的中国电影资料馆艺术影院依然人头攒动。笔者和数百位观众一起观看了诞生于1951年的国产影片《姊姊妹妹站起来》。女主角大香在旧社会被骗进妓院遭受欺压的不幸遭遇令人扼腕，新中国成立后她和姐妹们重获新生的情景又让人无比振奋。这部影片取材于1949年11月北京市政府一举封闭全市妓院的史实，导演陈西禾通过深入采访写出剧本，还大胆起用业余演员，从翻身妓女中挑选演员参与电影拍摄。影片生动表现了“旧社会把人变成鬼，新社会把鬼变成人”的主题，体现了时代进步和社会变迁。　　这部影片也是中国电影资料馆推出的庆祝新中国成立75周年特别策划首场放映。从今年9月至12月，这一特别策划通过“翻身道情”（1949-1978）、“时代新声”（1979-2002）、“人间烟火”（2003-2012）、“盛世影韵”（2013-2024）4个篇章，精选一系列经典影片进行展映，让观众重温被光影铭记的历史，感受新中国成立以来的时代发展与社会进步。　　精心选片　　“电影承载着社会文化记忆，同时又是一面面镜子。我们可以通过从1949年至今出品的电影，管窥新中国成立75年来中国社会生活方方面面的变化。”中国电影资料馆公共事业部副主任、策展人沙丹说。他介绍，新中国成立以来诞生的影片数不胜数，综合考虑影片的历史性、时代性、艺术价值、社会意义以及观众需求等方面，最终他们确定了30多部影片入选本次特别策划。　　他表示，选片的首要标准，是影片承载的历史含量与时代精神。从《黄宝妹》里劳动模范如何在社会主义建设大潮中乘风破浪，到《十八洞村》里精准扶贫政策下的乡村蜕变；从《开国大典》再现新中国成立的辉煌时刻，到《横空出世》里科研人员在艰苦条件下研制原子弹的壮丽篇章；从《静静的嘛呢石》里藏族少年纯真视角下的现代与传统交融，到《蓝色防线》记录的中国维和部队在非洲英勇无畏、执着坚守……每一部作品都在中国电影史上留下不可磨灭的印记，也共同绘制出波澜壮阔的中国社会发展图景。　　策展团队还巧妙运用了对比放映的方法。例如，将同为新中国成立初期妓女改造题材的故事片《姊姊妹妹站起来》与纪录片《烟花女儿翻身记》形成对比，又将《烟花女儿翻身记》与讲述纺织女工在工厂当家作主，进行热火朝天劳动竞赛的《黄宝妹》进行联映，不仅增强了叙事的深度与广度，更让观众在对比中感受到历史的厚重与现实的冲击。两部具有珍贵史料价值的纪录片《人民的新杭州》与《漫步北京》也是联袂登场，带领观众一览上世纪50年代北京与杭州的社会风貌，与历史对话，与时代共鸣。　　影片的艺术价值和表现手法也是选片时的考量标准。由郑君里执导的《我们夫妇之间》，通过细腻的笔触展现新中国成立后干部家庭的生活变化和观念冲突；儿童电影《祖国的花朵》主题曲《让我们荡起双桨》传唱至今，成为影响几代人的经典；大型音乐舞蹈史诗《东方红》展现了中国革命的历史进程，汇集了多种艺术形式，搬上大银幕时，以多机位呈现了舞台演出的盛大规模；《开国大典》将历史与艺术充分结合，真实而富有史诗感；《回西藏》生动讲述了到西藏工作的主人公与一位藏族同胞从互不理解到成为生死之交的过程……这些影片，是电影艺术长河中的璀璨星辰，也是新中国发展历程与社会变迁的生动注脚。　　经典重生　　《姊姊妹妹站起来》的最后一个镜头，是一行文字说明：“本片于2013年修复。”　　此次特别策划展映的影片中，有一些由中国电影资料馆修复团队将胶片时代的电影拷贝进行扫描，实现数字化并进行修复的影片，包括《姊姊妹妹站起来》《黄宝妹》《我们夫妇之间》《锦上添花》等。《烟花女儿翻身记》《祖国的花朵》《人民的新杭州》《漫步北京》《东方红》等也已经通过扫描，实现数字化，尚待修复。此次特别策划放映的《开国大典》虽然并非由中国电影资料馆修复，但也是4k高清版。　　据介绍，电影修复工作并非简单的图像复原，需要经过物理修复、数字修复和艺术修复3个阶段。首先要对胶片进行接补、清洁，再将胶片上的影像扫描转换成数字文件，利用数字技术处理掉色、划痕、霉斑、抖动、闪烁、噪声等问题，接下来进行色彩校正和画面调整等，确保影片的艺术价值得到最大程度的保留和提升。　　沙丹表示，选择哪些影片优先修复，要基于4大原则——迫切性、艺术性、可利用性与可修复性。那些年代久远、保存状况较差且急需保护的影片会得到优先修复。比如《开国大典》等既具有极高时代价值，修复后又会经常被放映、研究的影片，无疑成为修复的重点对象。　　《锦上添花》讲述了一个火车小站上新老站务员工作和生活中发生的种种趣事。据介绍，修复团队在修复这部影片时，力求保留喜剧原作的神韵，同时赋予其更加鲜活的生命力和美感，让观众在观影时感受到电影艺术穿越时空的魅力。　　修复一部影片往往需要投入大量成本。影片的可利用性以及影片原始素材是否完整、是否具备足够的修复空间，也是修复的重要前提。《姊姊妹妹站起来》《我们夫妇之间》等的修复，也都因为它们既具有修复价值又具备可修复条件，才在修复团队的巧手下重获新生。　　老电影的每一帧画面都承载着厚重的历史与文化信息，因此，影片修复不仅需要提升画面质量，还要遵循“修旧如旧”的原则，尽量保留影片的原始风貌和特色，以确保修复后的影片既符合现代观众的审美需求，又能忠实反映其历史背景和文化内涵。如此次放映的《姊姊妹妹站起来》数字版依然保留了胶片电影放映过程中更换胶片卷时短暂的几秒钟“黑场”。　　跨时代共鸣　　本次特别策划不仅是一场新中国电影艺术的巡礼，更为观众开启了一次穿越时空的心灵之旅，让人们通过重新观赏那些镌刻着时代烙印的经典之作，触摸历史的脉搏，聆听岁月深处的回响，感受前辈们为理想奋斗的坚定信念，体会到那些曾经激励人心的故事背后蕴藏的深厚文化底蕴和民族精神力量。　　在光影交织间，观众看到祖国变化发展的轨迹，听到社会进步的坚实足音。从事互联网行业的李先生观看《姊姊妹妹站起来》后表示：“这部影片虽然只有一条主线，情节也比较简单，却通过深入的挖掘和传神的再现，表现出人物在旧社会的悲惨命运和在新中国的美好未来，真实而震撼。”　　不同年龄、不同背景的观众也通过老电影找到了共同的情感纽带，实现了跨越年龄层的对话。看完《烟花女儿翻身记》和《黄宝妹》后，亲历过上世纪五六十年代的观众很激动，这些影片唤起了他们珍贵的记忆。余女士感慨地说：“影片中讲述的很多是我们经历过或看过的事情。一些具有划时代意义的时间点被集中再现，让我感慨万千。”而对于年轻观众来说，这些老电影则是一次宝贵的历史教育。刚参加工作不久的杨女士表示：“我对上世纪五六十年代知之甚少。但通过这些影片，感受到那个时代人们奋斗进取的精神风貌，更加深刻地理解了国家的发展历程和前辈们的辛勤付出。”　　有过传媒从业经历的李女士是中国电影资料馆常客。她认为，在《黄宝妹》这部纪录片中，导演谢晋不仅大胆结合剧情片的拍摄方式，还巧妙运用现代电影手法和新技术，用二次曝光将戏曲片段中的仙女舞蹈与女工工作两种场景融合在一起，既有真实性又有艺术性，“这种创造力和前卫程度令人敬佩”。她表示，中国电影资料馆的影片具有电影史资料性质，不仅给观众提供良好观影体验，更引领观众对电影史和电影文化进行深度探索。,1726176921000,,岳弘彬,0,0,1000040319181,,1726176922000,,,,,,,,,http://paper.people.com.cn/rmrbhwb/html/2024-09/13/content_26080208.htm,,,,,1,40319181,40319181,,1,中国电影资料馆推出庆祝新中国成立75周年特别策划,见证时代<em>变迁</em> 传承光影记忆,http://ent.people.com.cn/n1/2024/0913/c1012-40319181.html,人民网－人民日报海外版
,#西藏频道#滚动播报#市地动态#,"[""138901"",""339805"",""389275""]",从索朗多吉到白玛央金，从弓着身到站起来、从贫困到富裕、从苦难到幸福，一家三代人的生活历经巨变，这种<em>变迁</em>是西藏民主改革65年来取得历史性成就的生动写照，更是雪域高原千千万万家庭幸福蝶变的缩影。（刘枫）,1711932269000,,旦增卓色,0,0,2000040795415,,1711932270000,,,,,,,,,http://e.xzxw.com/xzrb/202404/01/content_250100.html ,,,,,2,40795415,40795415,,1,,一家三代的幸福<em>变迁</em>,http://xz.people.com.cn/n2/2024/0401/c138901-40795415.html,西藏日报
